Region_ID,Battery_Price,Range_km,Marketing_Spend,EV_Sales
Region_01,902,350,1000,664
Region_02,1235,354,7500,783
Region_03,1660,543,6700,865
Region_04,1070,430,6800,882
Region_05,906,434,7200,1055
Region_06,1011,595,2000,1033
Region_07,1660,321,8000,565
Region_08,1661,469,7300,741
Region_09,1401,374,5100,676
Region_10,1408,557,1000,748
Region_11,1143,456,3600,820
Region_12,1295,302,3000,517
Region_13,1113,387,9000,996
Region_14,821,399,3500,845
Region_15,1130,422,3400,795
Region_16,1108,302,5900,767
Region_17,1485,399,7800,808
Region_18,1756,585,3400,830
Region_19,1076,334,1600,551
Region_20,1113,565,2200,929
Region_21,1266,419,2500,681
Region_22,1708,574,8000,995
Region_23,1711,544,7900,967
Region_24,1422,467,4100,786
Region_25,1237,341,2100,560
Region_26,1199,343,3000,591
Region_27,1502,408,7400,807
Region_28,1644,321,5700,512
Region_29,1523,403,2400,595
Region_30,1085,552,7000,1217
Region_31,1618,363,2200,435
Region_32,1564,570,3600,789
Region_33,1695,502,4300,767
Region_34,1031,348,5100,757
Region_35,1605,379,1500,433
Region_36,1214,402,6800,885
Region_37,1333,401,2300,580
Region_38,1034,510,5500,1050
Region_39,1223,439,3600,774
Region_40,1148,310,4700,698
Region_41,1306,448,8900,1071
Region_42,1686,396,5200,642
Region_43,1166,354,7700,935
Region_44,1198,397,8300,1031
Region_45,1748,517,5400,847
Region_46,1458,542,4200,798
Region_47,1525,431,6400,785
Region_48,1542,320,3800,527
Region_49,1261,379,5300,774
Region_50,813,388,4300,904
